"timeStamp","paleo","kale","dairy"
2012-01-01,957,1116,2994
2012-01-02,1392,1484,4645
2012-01-03,1677,1782,5445
2012-01-04,1736,1991,5541
2012-01-05,1504,1994,6160
2012-01-06,1299,2127,6540
2012-01-07,1156,1645,4776
2012-01-08,1100,1831,4357
2012-01-09,1384,2025,6494
2012-01-10,1586,1946,8521
2012-01-11,1702,2042,5451
2012-01-12,1607,1941,5387
2012-01-13,1334,1941,5343
2012-01-14,1110,1693,4605
2012-01-15,1007,1516,6001
2012-01-16,1374,1748,5347
2012-01-17,1510,1958,5118
2012-01-18,1350,2111,4871
2012-01-19,1349,2290,5690
2012-01-20,1408,2099,6779
2012-01-21,1007,1768,5138
2012-01-22,1015,1792,4874
2012-01-23,1216,2062,5547
2012-01-24,1669,2178,5523
2012-01-25,1434,2817,6496
2012-01-26,1434,2184,5634
2012-01-27,1335,1914,5629
2012-01-28,1142,1478,5156
2012-01-29,1091,1594,5051
2012-01-30,1509,2137,6726
2012-01-31,1613,2530,6850
2012-02-01,1452,2262,6070
2012-02-02,1557,2033,6305
2012-02-03,1524,2165,6210
2012-02-04,1139,1735,5760
2012-02-05,1212,1604,4915
2012-02-06,1322,1708,5080
2012-02-07,1386,2201,5731
2012-02-08,1299,2027,5497
2012-02-09,1430,1895,6158
2012-02-10,1513,1860,5583
2012-02-11,1269,1450,4607
2012-02-12,1166,1434,4455
2012-02-13,1406,1796,5405
2012-02-14,1498,1610,5009
2012-02-15,1847,1865,5306
2012-02-16,1500,1819,5576
2012-02-17,1373,1762,5404
2012-02-18,1192,1516,5077
2012-02-19,1250,1552,4884
2012-02-20,1689,1698,6263
2012-02-21,1852,2283,6394
2012-02-22,2122,2255,6909
2012-02-23,1532,2216,6325
2012-02-24,1540,1929,6208
2012-02-25,1097,1691,5650
2012-02-26,1505,1648,5445
2012-02-27,1689,1824,6148
2012-02-28,1686,1994,6324
2012-02-29,1710,2093,6572
2012-03-01,1728,2066,6886
2012-03-02,1525,2191,6647
2012-03-03,1437,1822,5365
2012-03-04,1209,1794,6150
2012-03-05,1607,2371,6747
2012-03-06,1489,2259,7571
2012-03-07,1498,2401,7413
2012-03-08,1412,2328,7474
2012-03-09,1445,1962,6791
2012-03-10,1349,1771,6037
2012-03-11,1051,1864,8489
2012-03-12,1403,2290,8607
2012-03-13,1622,2377,8813
2012-03-14,1488,2318,9999
2012-03-15,1641,2242,8825
2012-03-16,1665,2334,7579
2012-03-17,1351,2076,7314
2012-03-18,1417,1873,8602
2012-03-19,1442,2297,9408
2012-03-20,1469,2071,11411
2012-03-21,1525,2454,10122
2012-03-22,1328,2173,9122
2012-03-23,1497,1926,7559
2012-03-24,1244,1662,6071
2012-03-25,1282,1921,7057
2012-03-26,1380,2331,7445
2012-03-27,1535,2303,7237
2012-03-28,1568,2379,7466
2012-03-29,1408,2205,7139
2012-03-30,1433,1946,6441
2012-03-31,1333,1424,6117
2012-04-01,1273,1393,6496
2012-04-02,1542,1991,7434
2012-04-03,1397,2251,7487
2012-04-04,1509,2148,7672
2012-04-05,1743,1966,6923
2012-04-06,1543,1759,7702
2012-04-07,1154,1566,6451
2012-04-08,1399,1514,8431
2012-04-09,1625,1867,6780
2012-04-10,1647,2233,6881
2012-04-11,1690,2226,8608
2012-04-12,1469,2181,7797
2012-04-13,1417,2161,6830
2012-04-14,1161,1628,6199
2012-04-15,1099,1632,7629
2012-04-16,1598,2060,8489
2012-04-17,1703,2165,8613
2012-04-18,1688,2552,7441
2012-04-19,1521,2371,7411
2012-04-20,1372,2044,7169
2012-04-21,1234,2716,6706
2012-04-22,1190,1979,6275
2012-04-23,1599,2243,7764
2012-04-24,2078,2300,11356
2012-04-25,1855,2350,9588
2012-04-26,1810,2427,7807
2012-04-27,1693,2573,7075
2012-04-28,1226,2098,5752
2012-04-29,1334,2214,7078
2012-04-30,1481,2254,7553
2012-05-01,1833,2394,7742
2012-05-02,1677,2367,8761
2012-05-03,1692,2381,8961
2012-05-04,1542,2742,7725
2012-05-05,1193,1860,6286
2012-05-06,1134,1863,7301
2012-05-07,1380,2082,8033
2012-05-08,1590,2540,8214
2012-05-09,1645,2410,8429
2012-05-10,1513,2070,7607
2012-05-11,1489,2231,7980
2012-05-12,1291,1929,6466
2012-05-13,1044,1908,7135
2012-05-14,1582,1946,8185
2012-05-15,1680,2300,8802
2012-05-16,1655,2712,9850
2012-05-17,1599,2482,8884
2012-05-18,1622,2312,7905
2012-05-19,1340,1851,7508
2012-05-20,1143,1818,9734
2012-05-21,1496,2042,10696
2012-05-22,1639,2168,8338
2012-05-23,1613,2361,8742
2012-05-24,1443,1963,8477
2012-05-25,1396,1845,7869
2012-05-26,1292,1436,6755
2012-05-27,1084,1594,7486
2012-05-28,1231,1649,8932
2012-05-29,1709,1852,9234
2012-05-30,1694,2077,7948
2012-05-31,1671,2057,7871
2012-06-01,1699,2142,8360
2012-06-02,1871,1646,6654
2012-06-03,1925,1610,8068
2012-06-04,1765,1841,8843
2012-06-05,1950,2226,8622
2012-06-06,2098,2415,10054
2012-06-07,1945,2533,8517
2012-06-08,1799,2105,7940
2012-06-09,1357,1757,6446
2012-06-10,1350,1718,7152
2012-06-11,1732,2106,11221
2012-06-12,1930,2451,9578
2012-06-13,2182,2305,8798
2012-06-14,1988,2419,11398
2012-06-15,1723,2346,8953
2012-06-16,1496,1656,7255
2012-06-17,1480,1625,7045
2012-06-18,1667,1976,8680
2012-06-19,1735,2321,8614
2012-06-20,1769,2268,9726
2012-06-21,1753,1895,9494
2012-06-22,1747,2307,8969
2012-06-23,1436,1659,8161
2012-06-24,1496,1720,7163
2012-06-25,1939,2100,8298
2012-06-26,1707,2277,8720
2012-06-27,1732,2192,8698
2012-06-28,1888,2194,8622
2012-06-29,1718,1879,8117
2012-06-30,1257,1577,6943
2012-07-01,1445,1501,7991
2012-07-02,2408,2228,7815
2012-07-03,1669,2135,8548
2012-07-04,1486,1769,7261
2012-07-05,1530,2090,7395
2012-07-06,1611,2433,10495
2012-07-07,1352,1760,7623
2012-07-08,1482,1856,8054
2012-07-09,1746,2217,9821
2012-07-10,1907,2342,9591
2012-07-11,1945,2300,16848
2012-07-12,1746,2359,11327
2012-07-13,1613,2147,12062
2012-07-14,1551,1845,8583
2012-07-15,1562,1773,8137
2012-07-16,1982,2229,8725
2012-07-17,2490,2930,10264
2012-07-18,2421,2571,10086
2012-07-19,2136,2424,10682
2012-07-20,1686,2143,12486
2012-07-21,1570,1732,11006
2012-07-22,1385,1621,11755
2012-07-23,2061,2057,11922
2012-07-24,2146,2603,10919
