"timeStamp","variable","value"
2012-01-01,"paleo",957
2012-01-02,"paleo",1392
2012-01-03,"paleo",1677
2012-01-04,"paleo",1736
2012-01-05,"paleo",1504
2012-01-06,"paleo",1299
2012-01-07,"paleo",1156
2012-01-08,"paleo",1100
2012-01-09,"paleo",1384
2012-01-10,"paleo",1586
2012-01-11,"paleo",1702
2012-01-12,"paleo",1607
2012-01-13,"paleo",1334
2012-01-14,"paleo",1110
2012-01-15,"paleo",1007
2012-01-16,"paleo",1374
2012-01-17,"paleo",1510
2012-01-18,"paleo",1350
2012-01-19,"paleo",1349
2012-01-20,"paleo",1408
2012-01-21,"paleo",1007
2012-01-22,"paleo",1015
2012-01-23,"paleo",1216
2012-01-24,"paleo",1669
2012-01-25,"paleo",1434
2012-01-26,"paleo",1434
2012-01-27,"paleo",1335
2012-01-28,"paleo",1142
2012-01-29,"paleo",1091
2012-01-30,"paleo",1509
2012-01-31,"paleo",1613
2012-02-01,"paleo",1452
2012-02-02,"paleo",1557
2012-02-03,"paleo",1524
2012-02-04,"paleo",1139
2012-02-05,"paleo",1212
2012-02-06,"paleo",1322
2012-02-07,"paleo",1386
2012-02-08,"paleo",1299
2012-02-09,"paleo",1430
2012-02-10,"paleo",1513
2012-02-11,"paleo",1269
2012-02-12,"paleo",1166
2012-02-13,"paleo",1406
2012-02-14,"paleo",1498
2012-02-15,"paleo",1847
2012-02-16,"paleo",1500
2012-02-17,"paleo",1373
2012-02-18,"paleo",1192
2012-02-19,"paleo",1250
2012-02-20,"paleo",1689
2012-02-21,"paleo",1852
2012-02-22,"paleo",2122
2012-02-23,"paleo",1532
2012-02-24,"paleo",1540
2012-02-25,"paleo",1097
2012-02-26,"paleo",1505
2012-02-27,"paleo",1689
2012-02-28,"paleo",1686
2012-02-29,"paleo",1710
2012-03-01,"paleo",1728
2012-03-02,"paleo",1525
2012-03-03,"paleo",1437
2012-03-04,"paleo",1209
2012-03-05,"paleo",1607
2012-03-06,"paleo",1489
2012-03-07,"paleo",1498
2012-03-08,"paleo",1412
2012-03-09,"paleo",1445
2012-03-10,"paleo",1349
2012-03-11,"paleo",1051
2012-03-12,"paleo",1403
