timeStamp,paleo_users,dtmonth,healthy_index,snack_food_index,paleo,gluten,donut,aquafina,soda,atkins_diet,pepsi,aspartame,lays,izze,sobe,cheetos,pretzel,quinoa,kale,dairy,vegetables,gatorade,doritos,lipton
1/1/12 0:00,,1/1/12,7771,13050,957,2188,3733,398,,110,,83,,73,650,2393,2484,241,1116,2994,3269,6526,4440,249
1/2/12 0:00,,1/1/12,10665,16472,1392,2560,5345,497,,123,,87,,68,761,3710,3145,552,1484,4645,4677,5627,4272,456
1/3/12 0:00,,1/1/12,14024,19617,1677,3629,5277,674,,245,,137,,40,857,5095,2948,846,1782,5445,6090,5632,6297,983
1/4/12 0:00,,1/1/12,12879,19294,1736,3600,5785,869,,157,,139,,45,1248,4451,2930,906,1991,5541,4646,4799,6128,1112
1/5/12 0:00,,1/1/12,13483,20582,1504,3578,5466,644,,129,,118,,44,1246,4478,2996,1031,1994,6160,5376,5543,7642,744
1/6/12 0:00,,1/1/12,12000,17596,1299,3483,5229,701,,146,,225,,55,1160,3775,2897,805,2127,6540,4286,4658,5695,606
1/7/12 0:00,,1/1/12,10787,16670,1156,2645,5247,647,,172,,93,,60,1025,3706,3435,513,1645,4776,4828,3699,4282,514
1/8/12 0:00,,1/1/12,10330,18117,1100,2675,5448,645,,121,,156,,49,951,4183,3313,683,1831,4357,4041,4734,5173,412
1/9/12 0:00,,1/1/12,12586,17947,1384,3314,6128,763,,113,,174,,52,1460,4190,2584,1025,2025,6494,4838,6397,5045,541
1/10/12 0:00,,1/1/12,12628,19541,1586,3913,5756,861,,96,,156,,80,1164,4243,2563,1099,1946,8521,4084,8198,6979,682
1/11/12 0:00,,1/1/12,13366,16532,1702,4151,5193,713,,119,,176,,58,1274,3924,2670,1024,2042,5451,4447,3968,4745,581
1/12/12 0:00,,1/1/12,13004,17958,1607,4072,5422,1149,,113,,151,,51,1198,4698,2691,971,1941,5387,4413,4229,5147,587
1/13/12 0:00,,1/1/12,12164,17371,1334,3876,5657,649,,71,,117,,44,1023,4410,2756,812,1941,5343,4201,4573,4548,496
1/14/12 0:00,,1/1/12,10554,17241,1110,2855,5202,529,,75,,92,,57,994,4194,3459,1012,1693,4605,3884,4375,4386,411
1/15/12 0:00,,1/1/12,10633,18154,1007,2951,5643,572,,92,,90,,49,763,4472,3333,644,1516,6001,4515,5821,4706,460
1/16/12 0:00,,1/1/12,11968,18726,1374,3296,5285,656,,103,,294,,77,931,5028,2793,848,1748,5347,4702,4316,5620,734
1/17/12 0:00,,1/1/12,13049,19764,1510,3907,5557,709,,83,,237,,56,885,5666,2742,931,1958,5118,4743,4499,5799,458
1/18/12 0:00,,1/1/12,13026,22675,1350,3795,5647,596,,96,,251,,71,709,5581,2628,1109,2111,4871,4661,4000,8819,556
1/19/12 0:00,,1/1/12,13092,22643,1349,4104,5919,686,,128,,162,,60,971,6979,2816,951,2290,5690,4398,5271,6929,649
1/20/12 0:00,,1/1/12,12900,18987,1408,4067,6012,551,,120,,101,,51,864,4698,2863,773,2099,6779,4553,5167,5414,459
1/21/12 0:00,,1/1/12,11124,27095,1007,3639,5993,677,,62,,117,,60,742,13144,3378,582,1768,5138,4128,4244,4580,434
1/22/12 0:00,,1/1/12,11026,18182,1015,3118,5533,471,,69,,83,,57,740,4281,3178,778,1792,4874,4323,5010,5190,495
1/23/12 0:00,,1/1/12,14030,18511,1216,3999,5445,561,,83,,158,,64,673,4913,2812,954,2062,5547,5799,5594,5341,830
